Violation_ID,Perf_ID,Cheat_Type,Flag_Confidence_Pct,Action_Taken,Logged_Time
V0001,PF0001,Aimbot,59.29,Under Review,2025-03-02 11:01:00
V0002,PF0008,Aimbot,57.55,None,2025-03-02 14:02:00
V0003,PF0012,Aimbot,62.69,Under Review,2025-03-02 17:03:00
V0004,PF0015,Wallhack,86.87,Temp Ban,2025-03-02 20:04:00
V0005,PF0022,Wallhack,61.94,None,2025-03-02 23:05:00
V0006,PF0023,Wallhack,79.57,Warning,2025-03-03 02:06:00
V0007,PF0029,TriggerBot,57.82,Under Review,2025-03-03 05:07:00
V0008,PF0034,Aimbot,61.34,Under Review,2025-03-03 08:08:00
V0009,PF0036,TriggerBot,85.50,Temp Ban,2025-03-03 11:09:00
V0010,PF0043,TriggerBot,67.54,Under Review,2025-03-03 14:10:00
V0011,PF0045,Wallhack,75.41,Warning,2025-03-03 17:11:00
V0012,PF0050,Wallhack,83.99,Temp Ban,2025-03-03 20:12:00
V0013,PF0056,Wallhack,93.76,Permanent Ban,2025-03-03 23:13:00
V0014,PF0057,Aimbot,85.36,Temp Ban,2025-03-04 02:14:00
V0015,PF0064,Aimbot,78.91,Warning,2025-03-04 05:15:00
V0016,PF0067,Wallhack,74.88,Warning,2025-03-04 08:16:00
V0017,PF0071,Wallhack,63.53,Under Review,2025-03-04 11:17:00
V0018,PF0078,Wallhack,85.80,Temp Ban,2025-03-04 14:18:00
V0019,PF0085,SpeedHack,96.15,Permanent Ban,2025-03-04 17:19:00
V0020,PF0089,Wallhack,56.43,None,2025-03-04 20:20:00
V0021,PF0092,TriggerBot,83.58,Temp Ban,2025-03-04 23:21:00
V0022,PF0099,Wallhack,75.58,Warning,2025-03-05 02:22:00
V0023,PF0100,TriggerBot,69.63,Under Review,2025-03-05 05:23:00
V0024,PF0106,Wallhack,83.96,Temp Ban,2025-03-05 08:24:00
V0025,PF0111,Wallhack,93.35,Permanent Ban,2025-03-05 11:25:00
V0026,PF0113,Wallhack,74.84,Warning,2025-03-05 14:26:00
V0027,PF0120,Aimbot,91.84,Temp Ban,2025-03-05 17:27:00
V0028,PF0122,Wallhack,82.30,Temp Ban,2025-03-05 20:28:00
V0029,PF0127,Aimbot,67.98,None,2025-03-05 23:29:00
V0030,PF0133,Aimbot,82.35,Temp Ban,2025-03-06 02:30:00
V0031,PF0134,Other,96.60,Permanent Ban,2025-03-06 05:31:00
V0032,PF0141,Aimbot,86.84,Temp Ban,2025-03-06 08:32:00
V0033,PF0144,TriggerBot,77.15,Warning,2025-03-06 11:33:00
V0034,PF0148,Aimbot,94.28,Permanent Ban,2025-03-06 14:34:00
V0035,PF0155,TriggerBot,77.01,Warning,2025-03-06 17:35:00
V0036,PF0162,Wallhack,74.38,Warning,2025-03-06 20:36:00
V0037,PF0166,Wallhack,69.76,None,2025-03-06 23:37:00
V0038,PF0169,SpeedHack,94.34,Permanent Ban,2025-03-07 02:38:00
V0039,PF0176,Wallhack,56.78,Under Review,2025-03-07 05:39:00
V0040,PF0177,TriggerBot,86.90,Temp Ban,2025-03-07 08:40:00
V0041,PF0183,TriggerBot,71.30,Warning,2025-03-07 11:41:00
V0042,PF0188,Aimbot,74.51,Warning,2025-03-07 14:42:00
V0043,PF0190,Aimbot,76.01,Warning,2025-03-07 17:43:00
V0044,PF0197,Wallhack,89.42,Temp Ban,2025-03-07 20:44:00
V0045,PF0199,Aimbot,73.40,Warning,2025-03-07 23:45:00
V0046,PF0204,Aimbot,97.64,Permanent Ban,2025-03-08 02:46:00
V0047,PF0210,Aimbot,80.26,Temp Ban,2025-03-08 05:47:00
V0048,PF0211,Aimbot,71.48,Warning,2025-03-08 08:48:00
V0049,PF0218,Wallhack,69.62,Under Review,2025-03-08 11:49:00
V0050,PF0221,Wallhack,83.11,Temp Ban,2025-03-08 14:50:00
V0051,PF0225,TriggerBot,73.66,Warning,2025-03-08 17:51:00
V0052,PF0232,TriggerBot,86.41,Temp Ban,2025-03-08 20:52:00
V0053,PF0239,Wallhack,88.20,Temp Ban,2025-03-08 23:53:00
V0054,PF0243,Aimbot,85.30,Temp Ban,2025-03-09 02:54:00
V0055,PF0246,TriggerBot,73.41,Warning,2025-03-09 05:55:00
V0056,PF0253,Wallhack,87.06,Temp Ban,2025-03-09 08:56:00
V0057,PF0254,SpeedHack,61.55,None,2025-03-09 11:57:00
V0058,PF0260,Wallhack,82.74,Temp Ban,2025-03-09 14:58:00
V0059,PF0265,TriggerBot,64.21,Under Review,2025-03-09 17:59:00
V0060,PF0267,Aimbot,73.56,Warning,2025-03-09 20:00:00
V0061,PF0274,TriggerBot,82.28,Temp Ban,2025-03-09 23:01:00
V0062,PF0276,Other,89.06,Temp Ban,2025-03-10 02:02:00
V0063,PF0281,Aimbot,95.62,Permanent Ban,2025-03-10 05:03:00
V0064,PF0287,TriggerBot,79.78,Warning,2025-03-10 08:04:00
V0065,PF0288,TriggerBot,57.48,None,2025-03-10 11:05:00
V0066,PF0295,TriggerBot,57.13,Under Review,2025-03-10 14:06:00
V0067,PF0298,TriggerBot,81.02,Temp Ban,2025-03-10 17:07:00
V0068,PF0302,TriggerBot,94.74,Permanent Ban,2025-03-10 20:08:00
V0069,PF0309,Wallhack,75.95,Warning,2025-03-10 23:09:00
V0070,PF0316,Wallhack,90.97,Temp Ban,2025-03-11 02:10:00
V0071,PF0320,Aimbot,81.68,Temp Ban,2025-03-11 05:11:00
V0072,PF0323,Wallhack,79.60,Warning,2025-03-11 08:12:00
V0073,PF0330,Aimbot,84.68,Temp Ban,2025-03-11 11:13:00
V0074,PF0331,Wallhack,57.64,None,2025-03-11 14:14:00
V0075,PF0337,Wallhack,98.57,Permanent Ban,2025-03-11 17:15:00
V0076,PF0342,SpeedHack,68.23,None,2025-03-11 20:16:00
V0077,PF0344,Aimbot,92.07,Permanent Ban,2025-03-11 23:17:00
V0078,PF0351,Aimbot,81.07,Temp Ban,2025-03-12 02:18:00
V0079,PF0353,TriggerBot,64.29,Under Review,2025-03-12 05:19:00
V0080,PF0358,TriggerBot,97.67,Permanent Ban,2025-03-12 08:20:00
V0081,PF0364,Aimbot,67.14,Under Review,2025-03-12 11:21:00
V0082,PF0365,Aimbot,77.07,Warning,2025-03-12 14:22:00
V0083,PF0372,TriggerBot,67.63,Under Review,2025-03-12 17:23:00
V0084,PF0375,Wallhack,99.00,Permanent Ban,2025-03-12 20:24:00
V0085,PF0379,Aimbot,56.38,Under Review,2025-03-12 23:25:00
V0086,PF0386,Aimbot,84.15,Temp Ban,2025-03-13 02:26:00
V0087,PF0393,TriggerBot,76.13,Warning,2025-03-13 05:27:00
V0088,PF0397,Aimbot,80.38,Temp Ban,2025-03-13 08:28:00
V0089,PF0400,Wallhack,92.58,Permanent Ban,2025-03-13 11:29:00
V0090,PF0407,TriggerBot,93.69,Permanent Ban,2025-03-13 14:30:00
V0091,PF0408,Wallhack,71.56,Warning,2025-03-13 17:31:00
V0092,PF0414,Wallhack,59.77,None,2025-03-13 20:32:00
V0093,PF0419,Other,66.01,Under Review,2025-03-13 23:33:00
V0094,PF0421,TriggerBot,97.16,Permanent Ban,2025-03-14 02:34:00
V0095,PF0428,SpeedHack,55.82,None,2025-03-14 05:35:00
V0096,PF0430,TriggerBot,58.35,None,2025-03-14 08:36:00
V0097,PF0435,Wallhack,92.39,Permanent Ban,2025-03-14 11:37:00
V0098,PF0441,Wallhack,92.57,Permanent Ban,2025-03-14 14:38:00
V0099,PF0442,Wallhack,82.33,Temp Ban,2025-03-14 17:39:00
V0100,PF0449,Wallhack,58.62,None,2025-03-14 20:40:00
V0101,PF0452,TriggerBot,57.12,Under Review,2025-03-14 23:41:00
V0102,PF0456,Aimbot,76.66,Warning,2025-03-15 02:42:00
V0103,PF0463,Wallhack,78.99,Warning,2025-03-15 05:43:00
V0104,PF0470,Aimbot,90.37,Temp Ban,2025-03-15 08:44:00
V0105,PF0474,Aimbot,56.88,None,2025-03-15 11:45:00
V0106,PF0477,Aimbot,97.38,Permanent Ban,2025-03-15 14:46:00
V0107,PF0484,TriggerBot,90.20,Temp Ban,2025-03-15 17:47:00
V0108,PF0485,Aimbot,79.74,Warning,2025-03-15 20:48:00
V0109,PF0491,Aimbot,92.56,Permanent Ban,2025-03-15 23:49:00
V0110,PF0496,Aimbot,89.50,Temp Ban,2025-03-16 02:50:00
V0111,PF0498,TriggerBot,67.05,None,2025-03-16 05:51:00
V0112,PF0505,Aimbot,79.82,Warning,2025-03-16 08:52:00
V0113,PF0507,Aimbot,75.92,Warning,2025-03-16 11:53:00
V0114,PF0512,SpeedHack,98.63,Permanent Ban,2025-03-16 14:54:00
V0115,PF0518,TriggerBot,57.69,Under Review,2025-03-16 17:55:00
V0116,PF0519,Aimbot,72.90,Warning,2025-03-16 20:56:00
V0117,PF0526,Aimbot,95.24,Permanent Ban,2025-03-16 23:57:00
V0118,PF0529,Wallhack,73.64,Warning,2025-03-17 02:58:00
V0119,PF0533,Aimbot,78.62,Warning,2025-03-17 05:59:00
V0120,PF0540,Wallhack,74.35,Warning,2025-03-17 08:00:00
V0121,PF0547,Wallhack,67.39,None,2025-03-17 11:01:00
V0122,PF0551,Wallhack,89.59,Temp Ban,2025-03-17 14:02:00
V0123,PF0554,TriggerBot,98.10,Permanent Ban,2025-03-17 17:03:00
V0124,PF0561,Other,84.50,Temp Ban,2025-03-17 20:04:00
V0125,PF0562,Aimbot,97.83,Permanent Ban,2025-03-17 23:05:00
V0126,PF0568,TriggerBot,65.67,Under Review,2025-03-18 02:06:00
V0127,PF0573,TriggerBot,83.37,Temp Ban,2025-03-18 05:07:00
V0128,PF0575,Aimbot,96.80,Permanent Ban,2025-03-18 08:08:00
V0129,PF0582,TriggerBot,76.81,Warning,2025-03-18 11:09:00
V0130,PF0584,Wallhack,60.65,Under Review,2025-03-18 14:10:00
V0131,PF0589,TriggerBot,66.71,None,2025-03-18 17:11:00
V0132,PF0595,TriggerBot,83.81,Temp Ban,2025-03-18 20:12:00
V0133,PF0596,SpeedHack,72.90,Warning,2025-03-18 23:13:00
V0134,PF0603,Wallhack,92.64,Permanent Ban,2025-03-19 02:14:00
V0135,PF0606,TriggerBot,80.31,Temp Ban,2025-03-19 05:15:00
V0136,PF0610,Wallhack,78.25,Warning,2025-03-19 08:16:00
V0137,PF0617,Wallhack,61.44,Under Review,2025-03-19 11:17:00
V0138,PF0624,TriggerBot,57.10,Under Review,2025-03-19 14:18:00
V0139,PF0628,Wallhack,74.37,Warning,2025-03-19 17:19:00
V0140,PF0631,Aimbot,71.12,Warning,2025-03-19 20:20:00
V0141,PF0638,Wallhack,70.81,Warning,2025-03-19 23:21:00
V0142,PF0639,Wallhack,72.39,Warning,2025-03-20 02:22:00
V0143,PF0645,Aimbot,69.33,None,2025-03-20 05:23:00
V0144,PF0650,TriggerBot,63.85,Under Review,2025-03-20 08:24:00
V0145,PF0652,TriggerBot,65.15,Under Review,2025-03-20 11:25:00
V0146,PF0659,Aimbot,80.21,Temp Ban,2025-03-20 14:26:00
V0147,PF0661,Wallhack,62.04,Under Review,2025-03-20 17:27:00
V0148,PF0666,TriggerBot,71.32,Warning,2025-03-20 20:28:00
V0149,PF0672,TriggerBot,97.57,Permanent Ban,2025-03-20 23:29:00
V0150,PF0673,TriggerBot,84.26,Temp Ban,2025-03-21 02:30:00
V0151,PF0680,TriggerBot,90.88,Temp Ban,2025-03-21 05:31:00
V0152,PF0683,SpeedHack,60.39,None,2025-03-21 08:32:00
V0153,PF0687,TriggerBot,96.86,Permanent Ban,2025-03-21 11:33:00
V0154,PF0694,Wallhack,80.61,Temp Ban,2025-03-21 14:34:00
V0155,PF0701,Other,69.24,None,2025-03-21 17:35:00
V0156,PF0705,Wallhack,83.61,Temp Ban,2025-03-21 20:36:00
V0157,PF0708,Wallhack,79.51,Warning,2025-03-21 23:37:00
V0158,PF0715,Aimbot,69.64,None,2025-03-22 02:38:00
V0159,PF0716,TriggerBot,61.52,Under Review,2025-03-22 05:39:00
V0160,PF0722,Aimbot,79.97,Warning,2025-03-22 08:40:00
V0161,PF0727,Aimbot,68.36,Under Review,2025-03-22 11:41:00
V0162,PF0729,TriggerBot,92.61,Permanent Ban,2025-03-22 14:42:00
V0163,PF0736,Wallhack,62.89,Under Review,2025-03-22 17:43:00
V0164,PF0738,Wallhack,76.28,Warning,2025-03-22 20:44:00
V0165,PF0743,Wallhack,98.16,Permanent Ban,2025-03-22 23:45:00
V0166,PF0749,Aimbot,85.17,Temp Ban,2025-03-23 02:46:00
V0167,PF0750,Wallhack,89.30,Temp Ban,2025-03-23 05:47:00
V0168,PF0757,TriggerBot,72.20,Warning,2025-03-23 08:48:00
V0169,PF0760,Aimbot,93.05,Permanent Ban,2025-03-23 11:49:00
V0170,PF0764,TriggerBot,76.30,Warning,2025-03-23 14:50:00
V0171,PF0771,SpeedHack,95.92,Permanent Ban,2025-03-23 17:51:00
V0172,PF0778,TriggerBot,63.15,None,2025-03-23 20:52:00
V0173,PF0782,TriggerBot,88.27,Temp Ban,2025-03-23 23:53:00
V0174,PF0785,Wallhack,98.11,Permanent Ban,2025-03-24 02:54:00
V0175,PF0792,TriggerBot,70.09,Warning,2025-03-24 05:55:00
V0176,PF0793,Aimbot,78.37,Warning,2025-03-24 08:56:00
V0177,PF0799,TriggerBot,74.47,Warning,2025-03-24 11:57:00
V0178,PF0804,Wallhack,91.85,Temp Ban,2025-03-24 14:58:00
V0179,PF0806,TriggerBot,83.61,Temp Ban,2025-03-24 17:59:00
V0180,PF0813,Aimbot,78.37,Warning,2025-03-24 20:00:00
V0181,PF0815,Wallhack,74.13,Warning,2025-03-24 23:01:00
V0182,PF0820,TriggerBot,82.03,Temp Ban,2025-03-25 02:02:00
V0183,PF0826,Wallhack,56.36,Under Review,2025-03-25 05:03:00
V0184,PF0827,Wallhack,80.59,Temp Ban,2025-03-25 08:04:00
V0185,PF0834,Wallhack,96.74,Permanent Ban,2025-03-25 11:05:00
V0186,PF0837,Other,56.37,Under Review,2025-03-25 14:06:00
V0187,PF0841,Aimbot,66.00,Under Review,2025-03-25 17:07:00
V0188,PF0848,Aimbot,88.01,Temp Ban,2025-03-25 20:08:00
V0189,PF0855,TriggerBot,64.74,Under Review,2025-03-25 23:09:00
V0190,PF0859,SpeedHack,72.23,Warning,2025-03-26 02:10:00
V0191,PF0862,TriggerBot,75.01,Warning,2025-03-26 05:11:00
V0192,PF0869,Wallhack,69.17,None,2025-03-26 08:12:00
V0193,PF0870,Aimbot,88.64,Temp Ban,2025-03-26 11:13:00
V0194,PF0876,Wallhack,96.89,Permanent Ban,2025-03-26 14:14:00
V0195,PF0881,Wallhack,72.20,Warning,2025-03-26 17:15:00
V0196,PF0883,Wallhack,89.76,Temp Ban,2025-03-26 20:16:00
V0197,PF0890,Wallhack,89.89,Temp Ban,2025-03-26 23:17:00
V0198,PF0892,TriggerBot,76.62,Warning,2025-03-27 02:18:00
V0199,PF0897,Aimbot,94.75,Permanent Ban,2025-03-27 05:19:00
V0200,PF0903,TriggerBot,64.87,Under Review,2025-03-27 08:20:00
V0201,PF0904,Wallhack,79.38,Warning,2025-03-27 11:21:00
V0202,PF0911,Wallhack,70.68,Warning,2025-03-27 14:22:00
V0203,PF0914,Aimbot,97.96,Permanent Ban,2025-03-27 17:23:00
V0204,PF0918,Wallhack,67.63,Under Review,2025-03-27 20:24:00
V0205,PF0925,Aimbot,58.02,None,2025-03-27 23:25:00
V0206,PF0932,Aimbot,59.64,None,2025-03-28 02:26:00
V0207,PF0936,TriggerBot,84.98,Temp Ban,2025-03-28 05:27:00
V0208,PF0939,TriggerBot,85.79,Temp Ban,2025-03-28 08:28:00
V0209,PF0946,SpeedHack,60.52,None,2025-03-28 11:29:00
V0210,PF0947,TriggerBot,58.71,None,2025-03-28 14:30:00
V0211,PF0953,Wallhack,60.26,Under Review,2025-03-28 17:31:00
V0212,PF0958,Wallhack,64.35,None,2025-03-28 20:32:00
V0213,PF0960,Aimbot,83.76,Temp Ban,2025-03-28 23:33:00
V0214,PF0967,TriggerBot,74.61,Warning,2025-03-29 02:34:00
V0215,PF0969,Aimbot,68.98,Under Review,2025-03-29 05:35:00
V0216,PF0974,Wallhack,75.11,Warning,2025-03-29 08:36:00
V0217,PF0980,Other,97.15,Permanent Ban,2025-03-29 11:37:00
V0218,PF0981,Aimbot,76.01,Warning,2025-03-29 14:38:00
