League_ID,Game_ID,League_Name,Season_Year,Total_Prize_Pool,Sponsor_Name
L001,G01,Valorant Open 2025,2025,66895.00,Red Bull
L002,G01,Valorant Spring 2025,2025,150969.00,Intel
L003,G01,Valorant Summer 2025,2025,268587.00,Logitech
L004,G01,Valorant World 2025,2025,1029614.00,NVIDIA
L005,G02,CS2 Open 2025,2025,82012.00,HyperX
L006,G02,CS2 Spring 2025,2025,181008.00,Secretlab
L007,G02,CS2 Summer 2025,2025,252943.00,Mastercard
L008,G02,CS2 World 2025,2025,1006288.00,Coca-Cola
L009,G03,Dota2 Open 2025,2025,81090.00,Samsung
L010,G03,Dota2 Spring 2025,2025,151530.00,Alienware
L011,G03,Dota2 Summer 2025,2025,261891.00,Twitch
L012,G03,Dota2 World 2025,2025,1026214.00,DreamHack
L013,G01,Valorant Open 2026,2026,67060.00,Red Bull
L014,G01,Valorant Spring 2026,2026,157944.00,Intel
L015,G01,Valorant Summer 2026,2026,263902.00,Logitech
L016,G01,Valorant World 2026,2026,1035701.00,NVIDIA
L017,G02,CS2 Open 2026,2026,83313.00,HyperX
L018,G02,CS2 Spring 2026,2026,174458.00,Secretlab
L019,G02,CS2 Summer 2026,2026,261722.00,Mastercard
L020,G02,CS2 World 2026,2026,1012749.00,Coca-Cola
L021,G03,Dota2 Open 2026,2026,50106.00,Samsung
L022,G03,Dota2 Spring 2026,2026,189098.00,Alienware
L023,G03,Dota2 Summer 2026,2026,286256.00,Twitch
L024,G03,Dota2 World 2026,2026,1033617.00,DreamHack
