Perf_ID,Match_ID,Player_ID,KDA_Ratio,Combat_Score,Headshot_Pct,Outcome
PF0001,M001,P0476,0.81,503,85.18,Loss
PF0002,M001,P0477,8.11,546,15.64,Loss
PF0003,M001,P0478,4.93,582,100.00,Loss
PF0004,M001,P0479,3.77,541,71.93,Loss
PF0005,M001,P0480,8.04,157,44.98,Loss
PF0006,M001,P0566,9.00,105,100.00,Win
PF0007,M001,P0567,7.41,2,100.00,Win
PF0008,M001,P0568,0.65,150,32.56,Win
PF0009,M001,P0569,6.55,208,41.39,Win
PF0010,M001,P0570,0.00,242,88.94,Win
PF0011,M002,P0566,7.77,420,19.27,Win
PF0012,M002,P0567,0.00,567,41.62,Win
PF0013,M002,P0568,4.73,202,64.42,Win
PF0014,M002,P0569,1.50,402,100.00,Win
PF0015,M002,P0570,5.32,331,98.93,Win
PF0016,M002,P0406,5.46,289,4.10,Loss
PF0017,M002,P0407,0.00,415,67.42,Loss
PF0018,M002,P0408,2.93,557,86.68,Loss
PF0019,M002,P0409,0.93,89,1.95,Loss
PF0020,M002,P0410,8.75,123,67.57,Loss
PF0021,M003,P0406,7.61,658,12.70,Loss
PF0022,M003,P0407,0.00,466,51.51,Loss
PF0023,M003,P0408,2.80,340,73.94,Loss
PF0024,M003,P0409,0.18,118,43.85,Loss
PF0025,M003,P0410,8.63,125,55.29,Loss
PF0026,M003,P0346,5.60,293,83.81,Win
PF0027,M003,P0347,1.21,228,51.04,Win
PF0028,M003,P0348,4.55,589,23.88,Win
PF0029,M003,P0349,4.72,582,1.00,Win
PF0030,M003,P0350,0.79,373,100.00,Win
PF0031,M004,P0346,0.00,124,100.00,Win
PF0032,M004,P0347,5.91,0,46.18,Win
PF0033,M004,P0348,2.10,248,1.68,Win
PF0034,M004,P0349,1.33,433,80.83,Win
PF0035,M004,P0350,7.83,493,48.70,Win
PF0036,M004,P0471,4.78,417,100.00,Loss
PF0037,M004,P0472,5.49,491,87.71,Loss
PF0038,M004,P0473,0.00,195,34.80,Loss
PF0039,M004,P0474,8.27,613,15.70,Loss
PF0040,M004,P0475,6.23,489,7.94,Loss
PF0041,M006,P0036,6.47,0,11.15,
PF0042,M006,P0037,1.61,209,51.79,
PF0043,M006,P0038,5.04,382,100.00,
PF0044,M006,P0040,2.14,577,74.62,
PF0045,M006,P0076,3.61,656,52.96,
PF0046,M006,P0077,2.30,326,57.33,
PF0047,M006,P0078,2.02,621,28.49,
PF0048,M006,P0079,1.93,578,12.65,
PF0049,M006,P0080,8.58,62,82.02,
PF0050,M009,P0001,3.31,457,31.70,Loss
PF0051,M009,P0002,7.33,116,24.44,Loss
PF0052,M009,P0003,0.00,454,42.82,Loss
PF0053,M009,P0004,3.46,342,34.74,Loss
PF0054,M009,P0005,1.96,129,96.26,Loss
PF0055,M009,P0216,2.55,152,4.49,Win
PF0056,M009,P0217,0.09,0,100.00,Win
PF0057,M009,P0218,0.77,622,100.00,Win
PF0058,M009,P0219,0.00,613,13.72,Win
PF0059,M009,P0220,8.63,398,100.00,Win
PF0060,M010,P0216,7.16,596,37.36,Win
PF0061,M010,P0217,4.55,88,19.71,Win
PF0062,M010,P0218,0.59,552,100.00,Win
PF0063,M010,P0219,6.31,106,100.00,Win
PF0064,M010,P0220,4.93,365,88.60,Win
PF0065,M010,P0571,6.75,485,47.12,Loss
PF0066,M010,P0572,7.31,590,10.92,Loss
PF0067,M010,P0573,0.00,87,100.00,Loss
PF0068,M010,P0574,8.51,683,42.69,Loss
PF0069,M011,P0571,0.35,641,28.85,Loss
PF0070,M011,P0572,7.12,30,97.35,Loss
PF0071,M011,P0573,7.52,296,25.59,Loss
PF0072,M011,P0574,0.12,89,38.81,Loss
PF0073,M011,P0575,3.13,482,100.00,Loss
PF0074,M011,P0296,8.07,389,57.04,Win
PF0075,M011,P0297,5.92,624,45.24,Win
PF0076,M011,P0298,8.40,281,62.49,Win
PF0077,M011,P0299,0.00,356,20.16,Win
PF0078,M011,P0300,2.92,369,100.00,Win
PF0079,M012,P0296,7.92,373,100.00,Win
PF0080,M012,P0297,5.42,532,10.83,Win
PF0081,M012,P0298,4.45,317,100.00,Win
PF0082,M012,P0299,3.41,533,100.00,Win
PF0083,M012,P0300,5.87,593,40.41,Win
PF0084,M012,P0006,7.47,507,90.91,Loss
PF0085,M012,P0007,1.43,153,59.88,Loss
PF0086,M012,P0008,0.53,592,83.49,Loss
PF0087,M012,P0009,5.00,22,75.80,Loss
PF0088,M012,P0010,5.16,506,36.98,Loss
PF0089,M013,P0006,8.93,664,29.06,Loss
PF0090,M013,P0007,0.00,442,93.97,Loss
PF0091,M013,P0008,2.29,38,0.35,Loss
PF0092,M013,P0009,0.00,359,75.32,Loss
