Match_ID,League_ID,Team_A_ID,Team_B_ID,Server_Region,Scheduled_Time,Match_Status
M001,L002,T096,T114,Frankfurt,2025-03-01 18:00:00,Completed
M002,L003,T114,T082,Singapore,2025-03-02 00:00:00,Completed
M003,L004,T082,T070,Tokyo,2025-03-02 06:00:00,Completed
M004,L005,T070,T095,London,2025-03-02 12:00:00,Completed
M005,L006,T095,T008,Mumbai,2025-03-02 18:00:00,Scheduled
M006,L007,T008,T016,Frankfurt,2025-03-03 00:00:00,Live
M007,L008,T016,T026,Singapore,2025-03-03 06:00:00,Cancelled
M008,L009,T026,T001,Tokyo,2025-03-03 12:00:00,Postponed
M009,L010,T001,T044,London,2025-03-03 18:00:00,Completed
M010,L011,T044,T115,Mumbai,2025-03-04 00:00:00,Completed
M011,L012,T115,T060,Frankfurt,2025-03-04 06:00:00,Completed
M012,L013,T060,T002,Singapore,2025-03-04 12:00:00,Completed
M013,L014,T002,T084,Tokyo,2025-03-04 18:00:00,Completed
M014,L015,T084,T105,London,2025-03-05 00:00:00,Scheduled
M015,L016,T105,T013,Mumbai,2025-03-05 06:00:00,Live
M016,L017,T013,T011,Frankfurt,2025-03-05 12:00:00,Cancelled
M017,L018,T011,T048,Singapore,2025-03-05 18:00:00,Postponed
M018,L019,T048,T102,Tokyo,2025-03-06 00:00:00,Completed
M019,L020,T102,T021,London,2025-03-06 06:00:00,Completed
M020,L021,T021,T014,Mumbai,2025-03-06 12:00:00,Completed
M021,L022,T014,T062,Frankfurt,2025-03-06 18:00:00,Completed
M022,L023,T062,T045,Singapore,2025-03-07 00:00:00,Completed
M023,L024,T045,T027,Tokyo,2025-03-07 06:00:00,Scheduled
M024,L001,T027,T040,London,2025-03-07 12:00:00,Live
M025,L002,T040,T108,Mumbai,2025-03-07 18:00:00,Cancelled
M026,L003,T108,T028,Frankfurt,2025-03-08 00:00:00,Postponed
M027,L004,T028,T065,Singapore,2025-03-08 06:00:00,Completed
M028,L005,T065,T076,Tokyo,2025-03-08 12:00:00,Completed
M029,L006,T076,T110,London,2025-03-08 18:00:00,Completed
M030,L007,T110,T088,Mumbai,2025-03-09 00:00:00,Completed
M031,L008,T088,T032,Frankfurt,2025-03-09 06:00:00,Completed
M032,L009,T032,T061,Singapore,2025-03-09 12:00:00,Scheduled
M033,L010,T061,T079,Tokyo,2025-03-09 18:00:00,Live
M034,L011,T079,T025,London,2025-03-10 00:00:00,Cancelled
M035,L012,T025,T117,Mumbai,2025-03-10 06:00:00,Postponed
M036,L013,T117,T077,Frankfurt,2025-03-10 12:00:00,Completed
M037,L014,T077,T043,Singapore,2025-03-10 18:00:00,Completed
M038,L015,T043,T051,Tokyo,2025-03-11 00:00:00,Completed
M039,L016,T051,T098,London,2025-03-11 06:00:00,Completed
M040,L017,T098,T083,Mumbai,2025-03-11 12:00:00,Completed
M041,L018,T083,T100,Frankfurt,2025-03-11 18:00:00,Scheduled
M042,L019,T100,T103,Singapore,2025-03-12 00:00:00,Live
M043,L020,T103,T080,Tokyo,2025-03-12 06:00:00,Cancelled
M044,L021,T080,T036,London,2025-03-12 12:00:00,Postponed
M045,L022,T036,T086,Mumbai,2025-03-12 18:00:00,Completed
M046,L023,T086,T054,Frankfurt,2025-03-13 00:00:00,Completed
M047,L024,T054,T120,Singapore,2025-03-13 06:00:00,Completed
M048,L001,T120,T057,Tokyo,2025-03-13 12:00:00,Completed
M049,L002,T057,T081,London,2025-03-13 18:00:00,Completed
M050,L003,T081,T053,Mumbai,2025-03-14 00:00:00,Scheduled
M051,L004,T053,T085,Frankfurt,2025-03-14 06:00:00,Live
M052,L005,T085,T075,Singapore,2025-03-14 12:00:00,Cancelled
M053,L006,T075,T071,Tokyo,2025-03-14 18:00:00,Postponed
M054,L007,T071,T024,London,2025-03-15 00:00:00,Completed
M055,L008,T024,T005,Mumbai,2025-03-15 06:00:00,Completed
M056,L009,T005,T091,Frankfurt,2025-03-15 12:00:00,Completed
M057,L010,T091,T030,Singapore,2025-03-15 18:00:00,Completed
M058,L011,T030,T099,Tokyo,2025-03-16 00:00:00,Completed
M059,L012,T099,T015,London,2025-03-16 06:00:00,Scheduled
M060,L013,T015,T042,Mumbai,2025-03-16 12:00:00,Live
M061,L014,T042,T097,Frankfurt,2025-03-16 18:00:00,Cancelled
M062,L015,T097,T072,Singapore,2025-03-17 00:00:00,Postponed
M063,L016,T072,T003,Tokyo,2025-03-17 06:00:00,Completed
M064,L017,T003,T034,London,2025-03-17 12:00:00,Completed
M065,L018,T034,T004,Mumbai,2025-03-17 18:00:00,Completed
M066,L019,T004,T069,Frankfurt,2025-03-18 00:00:00,Completed
M067,L020,T069,T104,Singapore,2025-03-18 06:00:00,Completed
M068,L021,T104,T052,Tokyo,2025-03-18 12:00:00,Scheduled
M069,L022,T052,T106,London,2025-03-18 18:00:00,Live
M070,L023,T106,T049,Mumbai,2025-03-19 00:00:00,Cancelled
M071,L024,T049,T116,Frankfurt,2025-03-19 06:00:00,Postponed
M072,L001,T116,T059,Singapore,2025-03-19 12:00:00,Completed
M073,L002,T059,T090,Tokyo,2025-03-19 18:00:00,Completed
M074,L003,T090,T029,London,2025-03-20 00:00:00,Completed
M075,L004,T029,T073,Mumbai,2025-03-20 06:00:00,Completed
M076,L005,T073,T019,Frankfurt,2025-03-20 12:00:00,Completed
M077,L006,T019,T007,Singapore,2025-03-20 18:00:00,Scheduled
M078,L007,T007,T017,Tokyo,2025-03-21 00:00:00,Live
M079,L008,T017,T038,London,2025-03-21 06:00:00,Cancelled
M080,L009,T038,T010,Mumbai,2025-03-21 12:00:00,Postponed
M081,L010,T010,T119,Frankfurt,2025-03-21 18:00:00,Completed
M082,L011,T119,T056,Singapore,2025-03-22 00:00:00,Completed
M083,L012,T056,T058,Tokyo,2025-03-22 06:00:00,Completed
M084,L013,T058,T068,London,2025-03-22 12:00:00,Completed
M085,L014,T068,T037,Mumbai,2025-03-22 18:00:00,Completed
M086,L015,T037,T078,Frankfurt,2025-03-23 00:00:00,Scheduled
M087,L016,T078,T050,Singapore,2025-03-23 06:00:00,Live
M088,L017,T050,T022,Tokyo,2025-03-23 12:00:00,Cancelled
M089,L018,T022,T055,London,2025-03-23 18:00:00,Postponed
M090,L019,T055,T074,Mumbai,2025-03-24 00:00:00,Completed
M091,L020,T074,T009,Frankfurt,2025-03-24 06:00:00,Completed
