Payout_ID,Entry_ID,Placement_Rank,Prize_Amount,Tax_Deducted
PO0001,E0001,6,35255.51,3525.55
PO0002,E0002,7,22436.40,2243.64
PO0003,E0003,8,8830.33,883.03
PO0004,E0005,10,15786.69,1578.67
PO0005,E0006,1,43215.08,4321.51
PO0006,E0007,2,1933.76,193.38
PO0007,E0008,3,39506.43,3950.64
PO0008,E0009,4,23844.38,2384.44
PO0009,E0010,5,31870.80,3187.08
PO0010,E0011,1,34170.47,3417.05
PO0011,E0012,2,28051.84,2805.18
PO0012,E0013,3,8406.72,840.67
PO0013,E0014,4,33085.93,3308.59
PO0014,E0015,5,36965.82,3696.58
PO0015,E0016,6,6032.97,603.30
PO0016,E0017,7,21564.16,2156.42
PO0017,E0018,8,22044.91,2204.49
PO0018,E0019,9,11469.52,1146.95
PO0019,E0020,10,9307.30,930.73
PO0020,E0021,6,9201.27,920.13
PO0021,E0022,7,15636.99,1563.70
PO0022,E0023,8,15506.27,1550.63
PO0023,E0024,9,17318.26,1731.83
PO0024,E0025,10,16089.67,1608.97
PO0025,E0026,1,40492.65,4049.27
PO0026,E0027,2,30644.74,3064.47
PO0027,E0028,3,39725.35,3972.53
PO0028,E0029,4,2497.79,249.78
PO0029,E0030,5,3277.62,327.76
PO0030,E0031,1,3488.80,348.88
PO0031,E0032,2,14440.31,1444.03
PO0032,E0033,3,33519.74,3351.97
PO0033,E0034,4,29401.42,2940.14
PO0034,E0035,5,12153.66,1215.37
PO0035,E0036,6,21415.36,2141.54
PO0036,E0037,7,10645.71,1064.57
PO0037,E0038,8,12470.95,1247.10
PO0038,E0039,9,2698.94,269.89
PO0039,E0040,10,20060.09,2006.01
PO0040,E0081,6,10120.45,1012.05
PO0041,E0082,7,17145.90,1714.59
PO0042,E0083,8,15819.28,1581.93
PO0043,E0084,9,20616.18,2061.62
PO0044,E0085,10,8104.07,810.41
PO0045,E0086,1,24684.04,2468.40
PO0046,E0087,2,35705.41,3570.54
PO0047,E0088,3,11785.31,1178.53
PO0048,E0089,4,40181.71,4018.17
PO0049,E0090,5,13039.53,1303.95
PO0050,E0091,1,19754.99,1975.50
PO0051,E0093,3,28090.94,2809.09
PO0052,E0094,4,20394.54,2039.45
PO0053,E0095,5,31663.21,3166.32
PO0054,E0096,6,19949.90,1994.99
PO0055,E0097,7,5131.04,513.10
PO0056,E0098,8,215.03,21.50
PO0057,E0099,9,6232.55,623.26
PO0058,E0101,6,9951.58,995.16
PO0059,E0102,7,28403.68,2840.37
PO0060,E0103,8,10904.96,1090.50
PO0061,E0104,9,11410.12,1141.01
PO0062,E0105,10,10223.55,1022.36
PO0063,E0106,1,441.00,44.10
PO0064,E0107,2,30157.82,3015.78
PO0065,E0108,3,11346.33,1134.63
PO0066,E0109,4,23628.82,2362.88
PO0067,E0110,5,26006.48,2600.65
PO0068,E0111,1,6568.52,656.85
PO0069,E0112,2,41679.17,4167.92
PO0070,E0113,3,33111.61,3311.16
PO0071,E0114,4,24611.43,2461.14
PO0072,E0115,5,14633.86,1463.39
PO0073,E0116,6,16312.50,1631.25
PO0074,E0117,7,20402.22,2040.22
PO0075,E0118,8,19509.46,1950.95
PO0076,E0119,9,11495.41,1149.54
PO0077,E0120,10,1510.12,151.01
PO0078,E0121,6,29035.64,2903.56
PO0079,E0122,7,694.13,69.41
PO0080,E0124,9,16975.33,1697.53
PO0081,E0125,10,7648.96,764.90
PO0082,E0126,1,17138.37,1713.84
PO0083,E0127,2,22182.22,2218.22
PO0084,E0128,3,39129.82,3912.98
PO0085,E0129,4,730.18,73.02
PO0086,E0130,5,30109.58,3010.96
PO0087,E0171,1,36131.04,3613.10
PO0088,E0172,2,15758.42,1575.84
PO0089,E0173,3,29134.21,2913.42
PO0090,E0174,4,14801.58,1480.16
PO0091,E0175,5,10751.20,1075.12
PO0092,E0176,6,13238.93,1323.89
PO0093,E0177,7,9014.16,901.42
PO0094,E0178,8,23741.68,2374.17
PO0095,E0179,9,10547.49,1054.75
PO0096,E0180,10,8045.14,804.51
PO0097,E0182,7,11000.44,1100.04
PO0098,E0183,8,20983.36,2098.34
PO0099,E0184,9,24434.66,2443.47
PO0100,E0185,10,218.26,21.83
PO0101,E0186,1,3743.84,374.38
PO0102,E0187,2,12685.78,1268.58
PO0103,E0188,3,15522.86,1552.29
PO0104,E0189,4,43359.51,4335.95
PO0105,E0190,5,16645.45,1664.55
PO0106,E0191,1,17726.93,1772.69
PO0107,E0192,2,45598.52,4559.85
PO0108,E0193,3,45029.68,4502.97
PO0109,E0194,4,21537.69,2153.77
PO0110,E0195,5,23619.00,2361.90
PO0111,E0196,6,31353.37,3135.34
PO0112,E0197,7,4092.90,409.29
PO0113,E0198,8,1320.73,132.07
PO0114,E0199,9,17606.81,1760.68
PO0115,E0200,10,4279.33,427.93
PO0116,E0201,6,31071.35,3107.14
PO0117,E0202,7,29583.45,2958.35
PO0118,E0203,8,24967.17,2496.72
PO0119,E0204,9,24859.40,2485.94
PO0120,E0205,10,1664.45,166.45
PO0121,E0206,1,3449.42,344.94
PO0122,E0207,2,50542.41,5054.24
PO0123,E0208,3,29532.99,2953.30
PO0124,E0209,4,16712.80,1671.28
PO0125,E0210,5,15578.44,1557.84
PO0126,E0211,1,47834.30,4783.43
PO0127,E0212,2,2354.31,235.43
PO0128,E0213,3,38774.24,3877.42
PO0129,E0214,4,12862.42,1286.24
PO0130,E0215,5,21088.21,2108.82
PO0131,E0216,6,34340.52,3434.05
PO0132,E0217,7,10717.37,1071.74
PO0133,E0218,8,23792.50,2379.25
PO0134,E0219,9,15750.27,1575.03
PO0135,E0220,10,21139.91,2113.99
PO0136,E0261,6,21024.41,2102.44
PO0137,E0262,7,32301.81,3230.18
PO0138,E0263,8,20818.92,2081.89
PO0139,E0264,9,15516.18,1551.62
PO0140,E0265,10,360.23,36.02
PO0141,E0266,1,50443.43,5044.34
PO0142,E0267,2,35480.16,3548.02
PO0143,E0268,3,22080.84,2208.08
PO0144,E0269,4,44262.81,4426.28
PO0145,E0270,5,21955.52,2195.55
PO0146,E0271,1,19588.55,1958.86
PO0147,E0272,2,44827.08,4482.71
PO0148,E0273,3,38589.80,3858.98
PO0149,E0274,4,34177.56,3417.76
PO0150,E0275,5,31084.84,3108.48
PO0151,E0276,6,28088.36,2808.84
PO0152,E0277,7,13840.89,1384.09
PO0153,E0278,8,22995.42,2299.54
PO0154,E0279,9,10078.67,1007.87
PO0155,E0280,10,14315.85,1431.59
PO0156,E0281,6,9976.81,997.68
PO0157,E0282,7,29817.71,2981.77
PO0158,E0283,8,12824.53,1282.45
PO0159,E0284,9,14034.05,1403.40
PO0160,E0285,10,21354.48,2135.45
PO0161,E0286,1,24296.10,2429.61
PO0162,E0287,2,44362.67,4436.27
PO0163,E0288,3,24966.49,2496.65
PO0164,E0291,1,12826.58,1282.66
PO0165,E0292,2,27028.13,2702.81
PO0166,E0293,3,14600.70,1460.07
PO0167,E0294,4,42555.09,4255.51
PO0168,E0295,5,25583.27,2558.33
PO0169,E0296,6,28018.45,2801.85
PO0170,E0297,7,23502.25,2350.22
PO0171,E0298,8,7729.74,772.97
PO0172,E0299,9,25217.09,2521.71
PO0173,E0300,10,4379.86,437.99
PO0174,E0301,6,33613.95,3361.39
PO0175,E0302,7,17277.12,1727.71
PO0176,E0303,8,22523.47,2252.35
PO0177,E0305,10,1643.71,164.37
PO0178,E0306,1,41774.72,4177.47
PO0179,E0307,2,44121.64,4412.16
PO0180,E0308,3,17656.97,1765.70
PO0181,E0309,4,22382.21,2238.22
PO0182,E0310,5,6237.30,623.73
PO0183,E0351,1,25946.16,2594.62
PO0184,E0352,2,389.59,38.96
PO0185,E0353,3,32256.62,3225.66
PO0186,E0354,4,23608.97,2360.90
PO0187,E0355,5,28015.35,2801.53
PO0188,E0356,6,6652.09,665.21
PO0189,E0357,7,10654.38,1065.44
PO0190,E0358,8,20551.05,2055.11
PO0191,E0359,9,1437.88,143.79
PO0192,E0360,10,8082.98,808.30
PO0193,E0361,6,28829.03,2882.90
PO0194,E0362,7,18667.95,1866.80
PO0195,E0363,8,14244.94,1424.49
PO0196,E0364,9,11639.98,1164.00
PO0197,E0365,10,2280.58,228.06
PO0198,E0366,1,3275.90,327.59
PO0199,E0367,2,14044.88,1404.49
PO0200,E0368,3,11651.77,1165.18
PO0201,E0369,4,11076.00,1107.60
PO0202,E0370,5,21978.45,2197.85
PO0203,E0372,2,4190.72,419.07
PO0204,E0373,3,43048.15,4304.82
PO0205,E0374,4,34535.64,3453.56
PO0206,E0375,5,15517.75,1551.78
PO0207,E0376,6,8742.31,874.23
PO0208,E0377,7,29435.81,2943.58
PO0209,E0378,8,10628.74,1062.87
PO0210,E0379,9,21983.70,2198.37
PO0211,E0380,10,15762.57,1576.26
PO0212,E0381,6,27766.21,2776.62
PO0213,E0382,7,11233.18,1123.32
PO0214,E0383,8,26030.80,2603.08
PO0215,E0384,9,21879.45,2187.95
PO0216,E0385,10,8926.96,892.70
PO0217,E0386,1,51583.20,5158.32
PO0218,E0387,2,32042.08,3204.21
PO0219,E0389,4,20911.03,2091.10
PO0220,E0390,5,35910.23,3591.02
PO0221,E0391,1,31113.19,3111.32
PO0222,E0392,2,39465.59,3946.56
PO0223,E0393,3,36642.81,3664.28
PO0224,E0394,4,43269.75,4326.98
PO0225,E0395,5,32972.97,3297.30
PO0226,E0396,6,27991.90,2799.19
PO0227,E0397,7,4670.16,467.02
PO0228,E0398,8,14442.98,1444.30
PO0229,E0399,9,10341.74,1034.17
PO0230,E0400,10,7680.71,768.07
PO0231,E0441,6,2069.73,206.97
PO0232,E0442,7,17058.58,1705.86
PO0233,E0443,8,9866.51,986.65
PO0234,E0444,9,220.82,22.08
PO0235,E0445,10,3657.61,365.76
PO0236,E0446,1,49631.85,4963.19
PO0237,E0447,2,39674.36,3967.44
PO0238,E0448,3,33292.15,3329.22
PO0239,E0449,4,28402.87,2840.29
PO0240,E0450,5,34754.43,3475.44
PO0241,E0451,1,35419.63,3541.96
PO0242,E0452,2,53441.73,5344.17
PO0243,E0453,3,8581.40,858.14
PO0244,E0454,4,4006.58,400.66
PO0245,E0455,5,27659.33,2765.93
PO0246,E0456,6,111.52,11.15
PO0247,E0457,7,20490.73,2049.07
PO0248,E0458,8,21704.71,2170.47
PO0249,E0459,9,10455.79,1045.58
PO0250,E0460,10,6877.51,687.75
PO0251,E0461,6,24319.72,2431.97
PO0252,E0462,7,9433.77,943.38
PO0253,E0463,8,23060.83,2306.08
PO0254,E0464,9,15137.11,1513.71
PO0255,E0465,10,12171.14,1217.11
PO0256,E0466,1,19475.93,1947.59
PO0257,E0467,2,5464.32,546.43
PO0258,E0468,3,14795.36,1479.54
PO0259,E0469,4,31079.64,3107.96
PO0260,E0470,5,38913.82,3891.38
PO0261,E0471,1,3643.84,364.38
PO0262,E0472,2,24315.05,2431.51
PO0263,E0473,3,36040.91,3604.09
PO0264,E0474,4,21481.97,2148.20
PO0265,E0475,5,4755.73,475.57
PO0266,E0476,6,30963.73,3096.37
PO0267,E0477,7,28185.29,2818.53
PO0268,E0479,9,25439.59,2543.96
PO0269,E0480,10,2592.40,259.24
PO0270,E0481,6,12229.63,1222.96
PO0271,E0482,7,3618.03,361.80
PO0272,E0483,8,23987.47,2398.75
PO0273,E0484,9,646.69,64.67
PO0274,E0485,10,1584.00,158.40
PO0275,E0486,1,56542.06,5654.21
PO0276,E0487,2,5974.63,597.46
PO0277,E0488,3,39825.61,3982.56
PO0278,E0489,4,20484.28,2048.43
PO0279,E0490,5,23556.50,2355.65
PO0280,E0531,1,34684.11,3468.41
PO0281,E0532,2,11827.57,1182.76
PO0282,E0534,4,968.59,96.86
PO0283,E0536,6,24310.15,2431.02
