Entry_ID,Player_ID,Team_ID,Match_ID,Entry_Date,Seed_Rank,Entry_Status
E0001,P0476,T096,M001,2025-02-11,1,Confirmed
E0002,P0477,T096,M001,2025-02-11,2,Confirmed
E0003,P0478,T096,M001,2025-02-11,3,Confirmed
E0004,P0479,T096,M001,2025-02-11,4,Disqualified
E0005,P0480,T096,M001,2025-02-11,5,Confirmed
E0006,P0566,T114,M001,2025-02-11,1,Confirmed
E0007,P0567,T114,M001,2025-02-11,2,Confirmed
E0008,P0568,T114,M001,2025-02-11,3,Confirmed
E0009,P0569,T114,M001,2025-02-11,4,Confirmed
E0010,P0570,T114,M001,2025-02-11,5,Confirmed
E0011,P0566,T114,M002,2025-02-17,1,Confirmed
E0012,P0567,T114,M002,2025-02-17,2,Confirmed
E0013,P0568,T114,M002,2025-02-17,3,Confirmed
E0014,P0569,T114,M002,2025-02-17,4,Confirmed
E0015,P0570,T114,M002,2025-02-17,5,Confirmed
E0016,P0406,T082,M002,2025-02-17,1,Confirmed
E0017,P0407,T082,M002,2025-02-17,2,Confirmed
E0018,P0408,T082,M002,2025-02-17,3,Confirmed
E0019,P0409,T082,M002,2025-02-17,4,Confirmed
E0020,P0410,T082,M002,2025-02-17,5,Confirmed
E0021,P0406,T082,M003,2025-02-19,1,Confirmed
E0022,P0407,T082,M003,2025-02-19,2,Confirmed
E0023,P0408,T082,M003,2025-02-19,3,Confirmed
E0024,P0409,T082,M003,2025-02-19,4,Confirmed
E0025,P0410,T082,M003,2025-02-19,5,Confirmed
E0026,P0346,T070,M003,2025-02-19,1,Confirmed
E0027,P0347,T070,M003,2025-02-19,2,Confirmed
E0028,P0348,T070,M003,2025-02-19,3,Confirmed
E0029,P0349,T070,M003,2025-02-19,4,Confirmed
E0030,P0350,T070,M003,2025-02-19,5,Confirmed
E0031,P0346,T070,M004,2025-02-23,1,Confirmed
E0032,P0347,T070,M004,2025-02-23,2,Confirmed
E0033,P0348,T070,M004,2025-02-23,3,Confirmed
E0034,P0349,T070,M004,2025-02-23,4,Confirmed
E0035,P0350,T070,M004,2025-02-23,5,Confirmed
E0036,P0471,T095,M004,2025-02-23,1,Confirmed
E0037,P0472,T095,M004,2025-02-23,2,Confirmed
E0038,P0473,T095,M004,2025-02-23,3,Confirmed
E0039,P0474,T095,M004,2025-02-23,4,Confirmed
E0040,P0475,T095,M004,2025-02-23,5,Confirmed
E0041,P0471,T095,M005,2025-02-09,1,Confirmed
E0042,P0472,T095,M005,2025-02-09,2,Confirmed
E0043,P0473,T095,M005,2025-02-09,3,Confirmed
E0044,P0474,T095,M005,2025-02-09,4,Confirmed
E0045,P0475,T095,M005,2025-02-09,5,Confirmed
E0046,P0036,T008,M005,2025-02-09,1,Confirmed
E0047,P0037,T008,M005,2025-02-09,2,Waitlist
E0048,P0038,T008,M005,2025-02-09,3,Waitlist
E0049,P0039,T008,M005,2025-02-09,4,Confirmed
E0050,P0040,T008,M005,2025-02-09,5,Confirmed
E0051,P0036,T008,M006,2025-02-20,1,Confirmed
E0052,P0037,T008,M006,2025-02-20,2,Confirmed
E0053,P0038,T008,M006,2025-02-20,3,Confirmed
E0054,P0039,T008,M006,2025-02-20,4,Withdrawn
E0055,P0040,T008,M006,2025-02-20,5,Confirmed
E0056,P0076,T016,M006,2025-02-20,1,Confirmed
E0057,P0077,T016,M006,2025-02-20,2,Confirmed
E0058,P0078,T016,M006,2025-02-20,3,Confirmed
E0059,P0079,T016,M006,2025-02-20,4,Confirmed
E0060,P0080,T016,M006,2025-02-20,5,Confirmed
E0061,P0076,T016,M007,2025-02-14,1,Confirmed
E0062,P0077,T016,M007,2025-02-14,2,Confirmed
E0063,P0078,T016,M007,2025-02-14,3,Withdrawn
E0064,P0079,T016,M007,2025-02-14,4,Withdrawn
E0065,P0080,T016,M007,2025-02-14,5,Withdrawn
E0066,P0126,T026,M007,2025-02-14,1,Withdrawn
E0067,P0127,T026,M007,2025-02-14,2,Withdrawn
E0068,P0128,T026,M007,2025-02-14,3,Confirmed
E0069,P0129,T026,M007,2025-02-14,4,Confirmed
E0070,P0130,T026,M007,2025-02-14,5,Withdrawn
E0071,P0126,T026,M008,2025-02-16,1,Confirmed
E0072,P0127,T026,M008,2025-02-16,2,Confirmed
E0073,P0128,T026,M008,2025-02-16,3,Confirmed
E0074,P0129,T026,M008,2025-02-16,4,Confirmed
E0075,P0130,T026,M008,2025-02-16,5,Confirmed
E0076,P0001,T001,M008,2025-02-16,1,Confirmed
E0077,P0002,T001,M008,2025-02-16,2,Confirmed
E0078,P0003,T001,M008,2025-02-16,3,Confirmed
E0079,P0004,T001,M008,2025-02-16,4,Confirmed
E0080,P0005,T001,M008,2025-02-16,5,Disqualified
E0081,P0001,T001,M009,2025-02-16,1,Confirmed
E0082,P0002,T001,M009,2025-02-16,2,Confirmed
E0083,P0003,T001,M009,2025-02-16,3,Confirmed
E0084,P0004,T001,M009,2025-02-16,4,Confirmed
E0085,P0005,T001,M009,2025-02-16,5,Confirmed
E0086,P0216,T044,M009,2025-02-16,1,Confirmed
E0087,P0217,T044,M009,2025-02-16,2,Confirmed
E0088,P0218,T044,M009,2025-02-16,3,Confirmed
E0089,P0219,T044,M009,2025-02-16,4,Confirmed
E0090,P0220,T044,M009,2025-02-16,5,Confirmed
E0091,P0216,T044,M010,2025-02-18,1,Confirmed
E0092,P0217,T044,M010,2025-02-18,2,Disqualified
E0093,P0218,T044,M010,2025-02-18,3,Confirmed
E0094,P0219,T044,M010,2025-02-18,4,Confirmed
E0095,P0220,T044,M010,2025-02-18,5,Confirmed
E0096,P0571,T115,M010,2025-02-18,1,Confirmed
E0097,P0572,T115,M010,2025-02-18,2,Confirmed
E0098,P0573,T115,M010,2025-02-18,3,Confirmed
E0099,P0574,T115,M010,2025-02-18,4,Confirmed
E0100,P0575,T115,M010,2025-02-18,5,Withdrawn
E0101,P0571,T115,M011,2025-02-14,1,Confirmed
E0102,P0572,T115,M011,2025-02-14,2,Confirmed
E0103,P0573,T115,M011,2025-02-14,3,Confirmed
E0104,P0574,T115,M011,2025-02-14,4,Confirmed
E0105,P0575,T115,M011,2025-02-14,5,Confirmed
E0106,P0296,T060,M011,2025-02-14,1,Confirmed
E0107,P0297,T060,M011,2025-02-14,2,Confirmed
E0108,P0298,T060,M011,2025-02-14,3,Confirmed
E0109,P0299,T060,M011,2025-02-14,4,Confirmed
E0110,P0300,T060,M011,2025-02-14,5,Confirmed
E0111,P0296,T060,M012,2025-02-20,1,Confirmed
E0112,P0297,T060,M012,2025-02-20,2,Confirmed
E0113,P0298,T060,M012,2025-02-20,3,Confirmed
E0114,P0299,T060,M012,2025-02-20,4,Confirmed
E0115,P0300,T060,M012,2025-02-20,5,Confirmed
E0116,P0006,T002,M012,2025-02-20,1,Confirmed
E0117,P0007,T002,M012,2025-02-20,2,Confirmed
E0118,P0008,T002,M012,2025-02-20,3,Confirmed
E0119,P0009,T002,M012,2025-02-20,4,Confirmed
E0120,P0010,T002,M012,2025-02-20,5,Confirmed
E0121,P0006,T002,M013,2025-02-11,1,Confirmed
E0122,P0007,T002,M013,2025-02-11,2,Confirmed
E0123,P0008,T002,M013,2025-02-11,3,Disqualified
E0124,P0009,T002,M013,2025-02-11,4,Confirmed
E0125,P0010,T002,M013,2025-02-11,5,Confirmed
E0126,P0416,T084,M013,2025-02-11,1,Confirmed
E0127,P0417,T084,M013,2025-02-11,2,Confirmed
E0128,P0418,T084,M013,2025-02-11,3,Confirmed
E0129,P0419,T084,M013,2025-02-11,4,Confirmed
E0130,P0420,T084,M013,2025-02-11,5,Confirmed
E0131,P0416,T084,M014,2025-02-25,1,Confirmed
E0132,P0417,T084,M014,2025-02-25,2,Confirmed
E0133,P0418,T084,M014,2025-02-25,3,Waitlist
E0134,P0419,T084,M014,2025-02-25,4,Confirmed
E0135,P0420,T084,M014,2025-02-25,5,Confirmed
E0136,P0521,T105,M014,2025-02-25,1,Waitlist
E0137,P0522,T105,M014,2025-02-25,2,Confirmed
E0138,P0523,T105,M014,2025-02-25,3,Confirmed
E0139,P0524,T105,M014,2025-02-25,4,Confirmed
E0140,P0525,T105,M014,2025-02-25,5,Confirmed
E0141,P0521,T105,M015,2025-02-22,1,Confirmed
E0142,P0522,T105,M015,2025-02-22,2,Confirmed
E0143,P0523,T105,M015,2025-02-22,3,Confirmed
E0144,P0524,T105,M015,2025-02-22,4,Withdrawn
E0145,P0525,T105,M015,2025-02-22,5,Confirmed
E0146,P0061,T013,M015,2025-02-22,1,Confirmed
E0147,P0062,T013,M015,2025-02-22,2,Confirmed
E0148,P0063,T013,M015,2025-02-22,3,Confirmed
E0149,P0064,T013,M015,2025-02-22,4,Confirmed
E0150,P0065,T013,M015,2025-02-22,5,Confirmed
E0151,P0061,T013,M016,2025-02-20,1,Confirmed
E0152,P0062,T013,M016,2025-02-20,2,Withdrawn
E0153,P0063,T013,M016,2025-02-20,3,Confirmed
E0154,P0064,T013,M016,2025-02-20,4,Confirmed
E0155,P0065,T013,M016,2025-02-20,5,Withdrawn
E0156,P0051,T011,M016,2025-02-20,1,Confirmed
E0157,P0052,T011,M016,2025-02-20,2,Withdrawn
E0158,P0053,T011,M016,2025-02-20,3,Confirmed
E0159,P0054,T011,M016,2025-02-20,4,Confirmed
E0160,P0055,T011,M016,2025-02-20,5,Withdrawn
E0161,P0051,T011,M017,2025-02-12,1,Confirmed
E0162,P0052,T011,M017,2025-02-12,2,Withdrawn
E0163,P0053,T011,M017,2025-02-12,3,Confirmed
E0164,P0054,T011,M017,2025-02-12,4,Confirmed
E0165,P0055,T011,M017,2025-02-12,5,Confirmed
E0166,P0236,T048,M017,2025-02-12,1,Confirmed
E0167,P0237,T048,M017,2025-02-12,2,Confirmed
E0168,P0238,T048,M017,2025-02-12,3,Confirmed
E0169,P0239,T048,M017,2025-02-12,4,Confirmed
E0170,P0240,T048,M017,2025-02-12,5,Confirmed
E0171,P0236,T048,M018,2025-02-26,1,Confirmed
E0172,P0237,T048,M018,2025-02-26,2,Confirmed
E0173,P0238,T048,M018,2025-02-26,3,Confirmed
E0174,P0239,T048,M018,2025-02-26,4,Confirmed
E0175,P0240,T048,M018,2025-02-26,5,Confirmed
E0176,P0506,T102,M018,2025-02-26,1,Confirmed
E0177,P0507,T102,M018,2025-02-26,2,Confirmed
E0178,P0508,T102,M018,2025-02-26,3,Confirmed
E0179,P0509,T102,M018,2025-02-26,4,Confirmed
E0180,P0510,T102,M018,2025-02-26,5,Confirmed
E0181,P0506,T102,M019,2025-02-16,1,Withdrawn
E0182,P0507,T102,M019,2025-02-16,2,Confirmed
E0183,P0508,T102,M019,2025-02-16,3,Confirmed
E0184,P0509,T102,M019,2025-02-16,4,Confirmed
E0185,P0510,T102,M019,2025-02-16,5,Confirmed
E0186,P0101,T021,M019,2025-02-16,1,Confirmed
E0187,P0102,T021,M019,2025-02-16,2,Confirmed
E0188,P0103,T021,M019,2025-02-16,3,Confirmed
E0189,P0104,T021,M019,2025-02-16,4,Confirmed
E0190,P0105,T021,M019,2025-02-16,5,Confirmed
E0191,P0101,T021,M020,2025-02-17,1,Confirmed
E0192,P0102,T021,M020,2025-02-17,2,Confirmed
E0193,P0103,T021,M020,2025-02-17,3,Confirmed
E0194,P0104,T021,M020,2025-02-17,4,Confirmed
E0195,P0105,T021,M020,2025-02-17,5,Confirmed
E0196,P0066,T014,M020,2025-02-17,1,Confirmed
E0197,P0067,T014,M020,2025-02-17,2,Confirmed
E0198,P0068,T014,M020,2025-02-17,3,Confirmed
E0199,P0069,T014,M020,2025-02-17,4,Confirmed
E0200,P0070,T014,M020,2025-02-17,5,Confirmed
E0201,P0066,T014,M021,2025-03-03,1,Confirmed
E0202,P0067,T014,M021,2025-03-03,2,Confirmed
E0203,P0068,T014,M021,2025-03-03,3,Confirmed
E0204,P0069,T014,M021,2025-03-03,4,Confirmed
E0205,P0070,T014,M021,2025-03-03,5,Confirmed
E0206,P0306,T062,M021,2025-03-03,1,Confirmed
E0207,P0307,T062,M021,2025-03-03,2,Confirmed
E0208,P0308,T062,M021,2025-03-03,3,Confirmed
E0209,P0309,T062,M021,2025-03-03,4,Confirmed
E0210,P0310,T062,M021,2025-03-03,5,Confirmed
E0211,P0306,T062,M022,2025-03-04,1,Confirmed
E0212,P0307,T062,M022,2025-03-04,2,Confirmed
E0213,P0308,T062,M022,2025-03-04,3,Confirmed
E0214,P0309,T062,M022,2025-03-04,4,Confirmed
E0215,P0310,T062,M022,2025-03-04,5,Confirmed
E0216,P0221,T045,M022,2025-03-04,1,Confirmed
E0217,P0222,T045,M022,2025-03-04,2,Confirmed
E0218,P0223,T045,M022,2025-03-04,3,Confirmed
E0219,P0224,T045,M022,2025-03-04,4,Confirmed
E0220,P0225,T045,M022,2025-03-04,5,Confirmed
E0221,P0221,T045,M023,2025-02-28,1,Waitlist
E0222,P0222,T045,M023,2025-02-28,2,Confirmed
E0223,P0223,T045,M023,2025-02-28,3,Confirmed
E0224,P0224,T045,M023,2025-02-28,4,Confirmed
E0225,P0225,T045,M023,2025-02-28,5,Confirmed
E0226,P0131,T027,M023,2025-02-28,1,Confirmed
E0227,P0132,T027,M023,2025-02-28,2,Waitlist
E0228,P0133,T027,M023,2025-02-28,3,Confirmed
E0229,P0134,T027,M023,2025-02-28,4,Confirmed
E0230,P0135,T027,M023,2025-02-28,5,Confirmed
E0231,P0131,T027,M024,2025-02-14,1,Confirmed
E0232,P0132,T027,M024,2025-02-14,2,Confirmed
E0233,P0133,T027,M024,2025-02-14,3,Confirmed
E0234,P0134,T027,M024,2025-02-14,4,Confirmed
E0235,P0135,T027,M024,2025-02-14,5,Confirmed
E0236,P0196,T040,M024,2025-02-14,1,Confirmed
E0237,P0197,T040,M024,2025-02-14,2,Confirmed
E0238,P0198,T040,M024,2025-02-14,3,Confirmed
E0239,P0199,T040,M024,2025-02-14,4,Confirmed
E0240,P0200,T040,M024,2025-02-14,5,Confirmed
E0241,P0196,T040,M025,2025-03-02,1,Confirmed
E0242,P0197,T040,M025,2025-03-02,2,Withdrawn
E0243,P0198,T040,M025,2025-03-02,3,Confirmed
E0244,P0199,T040,M025,2025-03-02,4,Withdrawn
E0245,P0200,T040,M025,2025-03-02,5,Withdrawn
E0246,P0536,T108,M025,2025-03-02,1,Withdrawn
E0247,P0537,T108,M025,2025-03-02,2,Confirmed
E0248,P0538,T108,M025,2025-03-02,3,Withdrawn
E0249,P0539,T108,M025,2025-03-02,4,Withdrawn
E0250,P0540,T108,M025,2025-03-02,5,Withdrawn
E0251,P0536,T108,M026,2025-02-23,1,Confirmed
E0252,P0537,T108,M026,2025-02-23,2,Confirmed
E0253,P0538,T108,M026,2025-02-23,3,Confirmed
E0254,P0539,T108,M026,2025-02-23,4,Confirmed
E0255,P0540,T108,M026,2025-02-23,5,Confirmed
E0256,P0136,T028,M026,2025-02-23,1,Confirmed
E0257,P0137,T028,M026,2025-02-23,2,Withdrawn
E0258,P0138,T028,M026,2025-02-23,3,Confirmed
