Pass_ID,Player_ID,Pass_Tier,Start_Date,Expiry_Date,Pass_Status,Reward_Points
VP0001,P0001,Silver,2025-06-19,2026-06-19,Cancelled,260
VP0002,P0002,Gold,2025-06-08,2026-06-08,Expired,696
VP0003,P0003,Silver,2025-08-16,2026-08-16,Expired,429
VP0004,P0004,Gold,2025-06-02,2026-06-02,Expired,630
VP0005,P0005,Bronze,2025-01-20,2026-01-20,Cancelled,114
VP0006,P0006,Bronze,2025-07-21,2026-07-21,Expired,293
VP0007,P0007,Silver,2025-05-04,2026-05-04,Cancelled,397
VP0008,P0008,Silver,2026-02-22,2027-02-22,Active,419
VP0009,P0009,Bronze,2025-08-29,2026-08-29,Expired,199
VP0010,P0010,Gold,2025-02-13,2026-02-13,Expired,624
VP0011,P0011,Gold,2026-03-08,2027-03-08,Active,672
VP0012,P0012,Silver,2025-05-11,2026-05-11,Expired,395
VP0013,P0013,Bronze,2025-09-01,2026-09-01,Expired,127
VP0014,P0014,Bronze,2025-12-04,2026-12-04,Active,134
VP0015,P0015,Silver,2025-05-05,2026-05-05,Expired,293
VP0016,P0016,Gold,2025-06-08,2026-06-08,Expired,606
VP0017,P0017,Platinum,2025-01-17,2026-01-17,Cancelled,1033
VP0018,P0018,Silver,2025-02-09,2026-02-09,Expired,272
VP0019,P0019,Silver,2026-04-04,2027-04-04,Active,369
VP0020,P0020,Bronze,2025-03-11,2026-03-11,Expired,201
VP0021,P0021,Bronze,2025-01-06,2026-01-06,Expired,165
VP0022,P0022,Gold,2025-10-07,2026-10-07,Active,692
VP0023,P0023,Gold,2025-12-13,2026-12-13,Active,589
VP0024,P0024,Gold,2025-08-03,2026-08-03,Cancelled,657
VP0025,P0025,Silver,2025-03-15,2026-03-15,Cancelled,328
VP0026,P0026,Bronze,2025-09-23,2026-09-23,Active,288
VP0027,P0027,Bronze,2025-02-21,2026-02-21,Cancelled,175
VP0028,P0028,Bronze,2026-01-25,2027-01-25,Active,238
VP0029,P0029,Diamond,2025-06-20,2026-06-20,Cancelled,1577
VP0030,P0030,Gold,2025-11-20,2026-11-20,Active,578
VP0031,P0031,Gold,2026-02-28,2027-02-28,Active,550
VP0032,P0032,Gold,2025-03-22,2026-03-22,Expired,611
VP0033,P0033,Silver,2025-01-06,2026-01-06,Cancelled,277
VP0034,P0034,Platinum,2026-03-09,2027-03-09,Cancelled,988
VP0035,P0035,Gold,2025-05-15,2026-05-15,Expired,594
VP0036,P0036,Silver,2026-02-26,2027-02-26,Active,317
VP0037,P0037,Bronze,2025-10-08,2026-10-08,Active,194
VP0038,P0038,Silver,2025-06-11,2026-06-11,Expired,365
VP0039,P0039,Silver,2026-01-01,2027-01-01,Cancelled,442
VP0040,P0040,Bronze,2025-05-10,2026-05-10,Expired,195
VP0041,P0041,Gold,2025-04-07,2026-04-07,Cancelled,672
VP0042,P0042,Gold,2026-03-14,2027-03-14,Active,549
VP0043,P0043,Gold,2025-03-16,2026-03-16,Cancelled,675
VP0044,P0044,Bronze,2025-05-29,2026-05-29,Expired,219
VP0045,P0045,Bronze,2026-04-08,2027-04-08,Active,254
VP0046,P0046,Gold,2026-03-04,2027-03-04,Active,620
VP0047,P0047,Gold,2025-09-24,2026-09-24,Active,643
VP0048,P0048,Bronze,2025-11-16,2026-11-16,Active,138
VP0049,P0049,Silver,2025-04-25,2026-04-25,Expired,280
VP0050,P0050,Silver,2026-02-04,2027-02-04,Active,261
VP0051,P0051,Platinum,2025-03-16,2026-03-16,Expired,991
VP0052,P0052,Silver,2025-08-25,2026-08-25,Expired,263
VP0053,P0053,Gold,2025-02-18,2026-02-18,Expired,530
VP0054,P0054,Bronze,2025-11-04,2026-11-04,Cancelled,141
VP0055,P0055,Silver,2025-07-04,2026-07-04,Cancelled,293
VP0056,P0056,Silver,2025-07-22,2026-07-22,Expired,355
VP0057,P0057,Gold,2025-04-26,2026-04-26,Cancelled,591
VP0058,P0058,Diamond,2026-01-08,2027-01-08,Cancelled,1572
VP0059,P0059,Gold,2025-09-25,2026-09-25,Active,505
VP0060,P0060,Silver,2025-03-25,2026-03-25,Expired,282
VP0061,P0061,Silver,2025-02-22,2026-02-22,Expired,449
VP0062,P0062,Bronze,2026-03-19,2027-03-19,Active,239
VP0063,P0063,Silver,2025-08-12,2026-08-12,Expired,386
VP0064,P0064,Bronze,2026-04-23,2027-04-23,Active,265
VP0065,P0065,Silver,2025-08-25,2026-08-25,Cancelled,417
VP0066,P0066,Silver,2026-02-02,2027-02-02,Active,295
VP0067,P0067,Gold,2025-03-20,2026-03-20,Expired,519
VP0068,P0068,Platinum,2025-06-03,2026-06-03,Cancelled,909
VP0069,P0069,Silver,2026-04-07,2027-04-07,Active,433
VP0070,P0070,Silver,2025-01-15,2026-01-15,Expired,260
VP0071,P0071,Gold,2025-08-23,2026-08-23,Expired,592
VP0072,P0072,Silver,2026-04-05,2027-04-05,Active,328
VP0073,P0073,Bronze,2025-12-23,2026-12-23,Active,198
VP0074,P0074,Bronze,2025-12-08,2026-12-08,Active,128
VP0075,P0075,Gold,2026-02-15,2027-02-15,Active,680
VP0076,P0076,Bronze,2025-11-16,2026-11-16,Active,216
VP0077,P0077,Bronze,2025-05-24,2026-05-24,Expired,283
VP0078,P0078,Gold,2025-03-28,2026-03-28,Expired,696
VP0079,P0079,Gold,2026-03-30,2027-03-30,Active,506
VP0080,P0080,Silver,2025-01-03,2026-01-03,Expired,282
VP0081,P0081,Silver,2025-09-17,2026-09-17,Expired,430
VP0082,P0082,Bronze,2026-01-25,2027-01-25,Active,215
VP0083,P0083,Bronze,2025-06-09,2026-06-09,Expired,264
VP0084,P0084,Bronze,2026-04-11,2027-04-11,Active,272
VP0085,P0085,Platinum,2025-11-23,2026-11-23,Active,1065
VP0086,P0086,Silver,2025-04-22,2026-04-22,Expired,359
VP0087,P0087,Diamond,2025-09-27,2026-09-27,Active,1678
VP0088,P0088,Silver,2025-10-03,2026-10-03,Active,419
VP0089,P0089,Gold,2025-07-05,2026-07-05,Expired,574
VP0090,P0090,Silver,2025-08-22,2026-08-22,Expired,414
VP0091,P0091,Silver,2025-11-25,2026-11-25,Active,376
VP0092,P0092,Silver,2026-02-12,2027-02-12,Active,323
VP0093,P0093,Bronze,2025-11-10,2026-11-10,Active,152
VP0094,P0094,Bronze,2025-10-16,2026-10-16,Active,176
VP0095,P0095,Gold,2025-11-08,2026-11-08,Active,627
VP0096,P0096,Gold,2025-10-24,2026-10-24,Active,670
VP0097,P0097,Gold,2025-04-07,2026-04-07,Cancelled,684
VP0098,P0098,Gold,2026-04-07,2027-04-07,Active,671
VP0099,P0099,Silver,2025-07-07,2026-07-07,Expired,403
VP0100,P0100,Gold,2025-05-27,2026-05-27,Cancelled,597
VP0101,P0101,Gold,2025-04-08,2026-04-08,Expired,669
VP0102,P0102,Platinum,2026-03-25,2027-03-25,Cancelled,954
VP0103,P0103,Bronze,2025-11-06,2026-11-06,Active,273
VP0104,P0104,Silver,2025-06-09,2026-06-09,Cancelled,379
VP0105,P0105,Silver,2026-05-04,2027-05-04,Active,444
VP0106,P0106,Silver,2025-06-21,2026-06-21,Expired,265
VP0107,P0107,Gold,2025-07-25,2026-07-25,Expired,582
VP0108,P0108,Gold,2025-10-19,2026-10-19,Active,521
VP0109,P0109,Gold,2026-05-01,2027-05-01,Active,639
VP0110,P0110,Silver,2025-06-15,2026-06-15,Expired,298
VP0111,P0111,Gold,2025-03-09,2026-03-09,Expired,644
VP0112,P0112,Gold,2026-01-08,2027-01-08,Active,622
VP0113,P0113,Bronze,2025-08-18,2026-08-18,Cancelled,264
VP0114,P0114,Gold,2025-06-13,2026-06-13,Cancelled,583
VP0115,P0115,Gold,2025-10-19,2026-10-19,Active,637
VP0116,P0116,Diamond,2025-12-20,2026-12-20,Active,1628
VP0117,P0117,Bronze,2025-09-27,2026-09-27,Active,122
VP0118,P0118,Gold,2025-07-01,2026-07-01,Cancelled,572
VP0119,P0119,Platinum,2025-05-07,2026-05-07,Expired,912
VP0120,P0120,Gold,2025-06-03,2026-06-03,Cancelled,511
VP0121,P0121,Gold,2025-06-06,2026-06-06,Expired,580
VP0122,P0122,Gold,2026-04-26,2027-04-26,Active,547
VP0123,P0123,Bronze,2025-04-27,2026-04-27,Cancelled,150
VP0124,P0124,Silver,2025-02-21,2026-02-21,Expired,270
VP0125,P0125,Bronze,2026-04-29,2027-04-29,Active,241
VP0126,P0126,Bronze,2025-12-31,2026-12-31,Active,181
VP0127,P0127,Bronze,2025-10-19,2026-10-19,Active,146
VP0128,P0128,Gold,2025-07-13,2026-07-13,Expired,525
VP0129,P0129,Gold,2025-11-23,2026-11-23,Active,571
VP0130,P0130,Bronze,2025-06-21,2026-06-21,Expired,161
VP0131,P0131,Silver,2025-01-12,2026-01-12,Expired,326
VP0132,P0132,Gold,2026-02-06,2027-02-06,Active,526
VP0133,P0133,Gold,2025-03-28,2026-03-28,Expired,525
VP0134,P0134,Gold,2025-07-20,2026-07-20,Expired,699
VP0135,P0135,Bronze,2025-01-13,2026-01-13,Expired,284
VP0136,P0136,Platinum,2025-09-30,2026-09-30,Active,1030
VP0137,P0137,Gold,2025-01-16,2026-01-16,Cancelled,579
VP0138,P0138,Gold,2025-02-10,2026-02-10,Expired,544
VP0139,P0139,Gold,2025-10-28,2026-10-28,Active,555
VP0140,P0140,Gold,2025-10-23,2026-10-23,Cancelled,586
VP0141,P0141,Silver,2025-01-09,2026-01-09,Expired,267
VP0142,P0142,Silver,2025-12-02,2026-12-02,Active,412
VP0143,P0143,Gold,2025-11-05,2026-11-05,Active,512
VP0144,P0144,Gold,2026-04-04,2027-04-04,Active,509
VP0145,P0145,Diamond,2025-10-20,2026-10-20,Active,1541
VP0146,P0146,Gold,2026-04-13,2027-04-13,Active,511
VP0147,P0147,Silver,2026-01-06,2027-01-06,Active,310
VP0148,P0148,Silver,2026-03-23,2027-03-23,Active,361
VP0149,P0149,Silver,2025-09-12,2026-09-12,Expired,302
VP0150,P0150,Bronze,2025-06-08,2026-06-08,Cancelled,159
VP0151,P0151,Silver,2025-05-25,2026-05-25,Expired,424
VP0152,P0152,Bronze,2025-03-15,2026-03-15,Cancelled,138
VP0153,P0153,Platinum,2025-04-30,2026-04-30,Expired,1034
VP0154,P0154,Bronze,2025-02-24,2026-02-24,Expired,217
VP0155,P0155,Bronze,2026-01-29,2027-01-29,Active,200
VP0156,P0156,Gold,2025-05-04,2026-05-04,Expired,588
VP0157,P0157,Gold,2025-10-28,2026-10-28,Active,667
VP0158,P0158,Gold,2025-03-15,2026-03-15,Expired,650
VP0159,P0159,Silver,2025-06-12,2026-06-12,Cancelled,312
VP0160,P0160,Silver,2026-04-01,2027-04-01,Active,365
VP0161,P0161,Gold,2025-07-09,2026-07-09,Cancelled,591
VP0162,P0162,Gold,2025-10-02,2026-10-02,Active,595
VP0163,P0163,Gold,2026-02-18,2027-02-18,Active,512
VP0164,P0164,Silver,2026-05-04,2027-05-04,Active,387
VP0165,P0165,Gold,2026-02-01,2027-02-01,Active,672
VP0166,P0166,Gold,2025-03-11,2026-03-11,Cancelled,544
VP0167,P0167,Silver,2025-06-18,2026-06-18,Expired,315
VP0168,P0168,Silver,2025-11-05,2026-11-05,Active,428
VP0169,P0169,Gold,2025-10-23,2026-10-23,Active,594
VP0170,P0170,Platinum,2025-02-14,2026-02-14,Cancelled,1085
VP0171,P0171,Bronze,2025-09-26,2026-09-26,Active,152
VP0172,P0172,Silver,2026-03-14,2027-03-14,Active,315
VP0173,P0173,Gold,2026-04-20,2027-04-20,Active,509
VP0174,P0174,Diamond,2025-12-06,2026-12-06,Active,1684
VP0175,P0175,Silver,2025-09-28,2026-09-28,Active,318
VP0176,P0176,Bronze,2025-03-15,2026-03-15,Expired,206
VP0177,P0177,Bronze,2025-09-14,2026-09-14,Cancelled,275
VP0178,P0178,Bronze,2025-12-26,2026-12-26,Active,133
VP0179,P0179,Gold,2025-05-07,2026-05-07,Cancelled,627
VP0180,P0180,Silver,2025-12-30,2026-12-30,Active,388
VP0181,P0181,Gold,2025-03-13,2026-03-13,Expired,655
VP0182,P0182,Gold,2026-02-10,2027-02-10,Active,515
VP0183,P0183,Silver,2025-07-21,2026-07-21,Expired,400
VP0184,P0184,Gold,2025-06-02,2026-06-02,Cancelled,650
VP0185,P0185,Bronze,2025-03-17,2026-03-17,Cancelled,185
VP0186,P0186,Gold,2026-04-11,2027-04-11,Active,666
VP0187,P0187,Platinum,2025-08-16,2026-08-16,Cancelled,1036
VP0188,P0188,Bronze,2026-02-02,2027-02-02,Active,182
VP0189,P0189,Gold,2025-05-03,2026-05-03,Expired,575
VP0190,P0190,Gold,2025-12-17,2026-12-17,Active,551
VP0191,P0191,Gold,2025-10-15,2026-10-15,Active,676
VP0192,P0192,Gold,2025-06-27,2026-06-27,Cancelled,560
VP0193,P0193,Silver,2025-04-08,2026-04-08,Expired,278
VP0194,P0194,Bronze,2025-05-08,2026-05-08,Expired,267
VP0195,P0195,Silver,2025-07-15,2026-07-15,Expired,444
VP0196,P0196,Bronze,2025-08-18,2026-08-18,Expired,240
VP0197,P0197,Gold,2025-05-22,2026-05-22,Expired,536
VP0198,P0198,Gold,2026-05-12,2027-05-12,Active,669
VP0199,P0199,Bronze,2026-04-10,2027-04-10,Active,143
VP0200,P0200,Gold,2026-03-30,2027-03-30,Active,545
VP0201,P0201,Gold,2025-02-24,2026-02-24,Expired,659
VP0202,P0202,Silver,2026-02-27,2027-02-27,Active,382
VP0203,P0203,Diamond,2026-02-22,2027-02-22,Active,1684
VP0204,P0204,Platinum,2025-11-20,2026-11-20,Active,1046
VP0205,P0205,Gold,2026-03-26,2027-03-26,Cancelled,596
VP0206,P0206,Bronze,2025-05-03,2026-05-03,Cancelled,193
VP0207,P0207,Silver,2025-10-09,2026-10-09,Active,450
VP0208,P0208,Bronze,2025-10-11,2026-10-11,Active,120
